formula,TL,NdValence_composition_average,IsTransitionMetal_composition_average,HeatVaporization_difference,valence_difference,Trg
Ca60Mg20Zn20,660.0,2.0,0.2,39.37,0.0,0.5727300000000001
Ca60Mg25Cu15,676.0,1.5,0.15,172.9,0.0,0.57692
Ca60Mg25Zn15,744.0,1.5,0.15,39.37,0.0,0.50672
Ca62.5Mg17.5Zn20,640.0,2.0,0.2,39.37,0.0,0.58594
Ca63Al32Cu5,831.0,0.5,0.05,145.83,1.0,0.6161300000000001
Ca65Cu35,1033.0,3.5,0.35,145.83,0.0,0.424
Ca65Ga35,991.0,3.5,0.0,101.39,1.0,0.5670000000000001
Ca65Mg10Cu25,711.0,2.5,0.25,172.9,0.0,0.54571
Ca65Mg10Zn25,659.0,2.5,0.25,39.37,0.0,0.57208
Ca65Mg15Ag20,664.5798,2.0,0.2,123.03,0.0,0.584387467
Ca65Mg15Cu20,682.0,2.0,0.2,172.9,0.0,0.56158
Ca65Mg15Zn20,630.0,2.0,0.2,39.37,0.0,0.59524
Ca65Mg20Cu15,679.0,1.5,0.15,172.9,0.0,0.56848
Ca65Mg20Zn15,668.0,1.5,0.15,39.37,0.0,0.56886
Ca65Mg25Cu10,691.0,1.0,0.1,172.9,0.0,0.58611
Ca65Mg25Zn10,759.0,1.0,0.1,39.37,0.0,0.50988
Ca65Mg35,987.0,0.0,0.0,27.07,0.0,0.41700000000000004
Ca65Mg5Cu30,757.0,3.0,0.3,172.9,0.0,0.53236
Ca65Zn35,687.0,3.5,0.35,39.37,0.0,0.5660000000000001
Ca66.4Al33.6,873.0,0.0,0.0,136.13,1.0,0.6048100000000001
Ca70Mg10Ag20,673.9274,2.0,0.2,123.03,0.0,0.560753232
Ca70Mg10Cu20,713.0,2.0,0.2,172.9,0.0,0.53997
Ca70Mg10Zn20,657.0,2.0,0.2,39.37,0.0,0.5586
Ca70Mg15Zn15,688.0,1.5,0.15,39.37,0.0,0.5392399999999999
Ca70Mg20Cu10,702.0,1.0,0.1,172.9,0.0,0.50712
Ce55Al25Cu20,744.0678,2.55,0.2,23.0,2.0,0.59
Ce60Al20Co20,798.4934,2.0,0.2,82.5,1.0,0.531
Ce60Al20Cu20,702.1277,2.6,0.2,23.0,2.0,0.564
Ce65Al15Cu20,772.3404,2.65,0.2,23.0,2.0,0.47
Ce68Al10Cu20Fe2,708.0,2.8,0.22,58.7,4.0,0.49717514100000004
Ce70Al15Cu15,774.4681,2.2,0.15,23.0,2.0,0.47
Co43.2Fe28.8B19.2Si4.8Nb4,1418.0,4.912,0.76,340.6,3.0,0.58
Co43Fe20Ta5.5B31.5,1526.0,4.375,0.685,387.5,3.0,0.59633
Co48Cr15Mo14C15B6Er2,1394.0,4.81,0.77,422.12,3.0,0.60832
Co50.4Fe21.6B19.2Si4.8Nb4,1430.0,4.984,0.76,340.6,3.0,0.573
Co50Cr15Mo14C15B6,1417.0,4.95,0.79,375.5,3.0,0.57798
Co57.6Fe14.4B19.2Si4.8Nb4,1445.0,5.056,0.76,340.6,3.0,0.563
Co64.8Fe7.2B19.2Si4.8Nb4,1457.0,5.127999999999999,0.76,340.6,3.0,0.551
Cu25Zr75,1363.0,4.0,1.0,290.0,2.0,0.419
Cu28Zr72,1268.0,4.24,1.0,290.0,2.0,0.473
Cu33.5Zr66.5,1273.0,4.68,1.0,290.0,2.0,0.496
Cu34Zr50Ag8Al8,1148.0,5.2,0.92,339.87,2.0,0.5923
Cu35Ag25Zr30Ti10,1138.0,6.8,1.0,339.87,2.0,0.5949
Cu38Zr46Ag8Al8,1145.0,5.52,0.92,339.87,2.0,0.6044
Cu40Ag20Zr30Ti10,1125.0,6.8,1.0,339.87,2.0,0.60178
Cu40Zr40Ag10Al10,1273.0,5.8,0.9,339.87,2.0,0.5577
Cu40Zr44Ag8Al8,1176.0,5.68,0.92,339.87,2.0,0.5893
Cu40Zr60,1248.0,5.2,1.0,290.0,2.0,0.518
Cu42Zr42Ag16,1232.0,6.64,1.0,339.87,2.0,0.556
Cu42Zr42Ag8Al8,1213.0,5.84,0.92,339.87,2.0,0.5812
Cu43Zr40Ag7Ti10,1095.0,6.0,1.0,339.87,2.0,0.5991
Cu43Zr43Ag7In7,1135.0,6.56,0.93,364.165,2.0,0.6203
Cu43Zr43Ag7Ti7,1118.0,6.0,1.0,339.87,2.0,0.5993
Cu43Zr43Al7Ag7,1125.0,5.86,0.93,339.87,2.0,0.6311100000000001
Cu43Zr43Al7Be7,1126.0,5.16,0.86,299.7,2.0,0.63055
Cu44Zr44Ag12,1156.0,6.48,1.0,339.87,2.0,0.5917
Cu44Zr44Ag6Al6,1144.0,5.88,0.94,339.87,2.0,0.6101
Cu45Ag15Zr30Ti10,1121.0,6.8,1.0,339.87,2.0,0.61285
Cu45Ni5Ag10Zr30Ti10,1160.0,6.7,1.0,339.87,2.0,0.61207
Cu45Zr15Ag10Hf30,1275.0,6.4,1.0,410.44,2.0,0.5584
Cu45Zr25Ag10Hf20,1218.0,6.4,1.0,410.44,2.0,0.5731
Cu45Zr35Ag10Hf10,1171.0,6.4,1.0,410.44,2.0,0.5892
Cu45Zr45Ag10,1159.0,6.4,1.0,339.87,2.0,0.5893
Cu45Zr45Ag3Al7,1177.0,5.7,0.93,339.87,2.0,0.6015
Cu45Zr45Ag5Al5,1147.0,5.9,0.95,339.87,2.0,0.6077
Cu45Zr45Ag7Al3,1151.0,6.1,0.97,339.87,2.0,0.5977
Cu45Zr45Al10,1159.0,5.4,0.9,299.7,2.0,0.61
Cu45Zr48Al7,1186.0,5.46,0.93,299.7,2.0,0.59696
Cu45Zr55,1203.0,5.6,1.0,290.0,2.0,0.5489999999999999
Cu46.4Ag11.6Zr35Ti7,1119.0,6.64,1.0,339.87,2.0,0.61573
Cu46Zr37Al7Y10,1118.0,5.44,0.93,299.7,2.0,0.5948100000000001
Cu46Zr42Al7Y5,1113.0,5.49,0.93,299.7,2.0,0.60377
Cu46Zr46Ag8,1167.0,6.32,1.0,339.87,2.0,0.5801
Cu46Zr46Al8,1155.0,5.52,0.92,299.7,2.0,0.61
Cu46Zr47Al7,1163.0,5.54,0.93,299.7,2.0,0.60619
Cu46Zr54,1201.0,5.68,1.0,290.0,2.0,0.57952
Cu47Ni13Zr30Ti10,1251.0,6.54,1.0,290.0,2.0,0.58114
Cu47Ti33Nb11Ni8Si,1265.0,6.44,0.99,389.6,3.0,0.56126
Cu47Ti33Zr11Ni2Sn6Si,1181.0,6.34,0.93,300.13,2.0,0.582403906
Cu47Ti33Zr11Ni4Sn4Si,1108.0,6.3,0.95,300.13,2.0,0.607733948
Cu47Ti33Zr11Ni8Si,1157.0,6.22,0.99,290.0,2.0,0.6223
Cu47Ti33Zr11SiNi6Sn2,1140.0,6.26,0.97,300.13,2.0,0.63158
Cu47Ti33Zr11Sn8Si,1333.0,6.38,0.91,300.13,2.0,0.524188612
Cu47Ti33Zr3Nb8Ni8Si,1228.0,6.38,0.99,389.6,3.0,0.57655
Cu47Ti33Zr5Nb6Ni8Si,1187.0,6.34,0.99,389.6,3.0,0.59983
Cu47Ti33Zr7Nb4Ni8Si,1172.0,6.3,0.99,389.6,3.0,0.60836
Cu47Ti33Zr9Nb2Ni8Si,1159.0,6.26,0.99,389.6,3.0,0.62813
Cu47Zr43Al7Ag3,1156.0,5.86,0.93,339.87,2.0,0.61938
Cu47Zr43Al7Be3,1139.0,5.56,0.9,299.7,2.0,0.62774
Cu47Zr47Al6,1165.0,5.64,0.94,299.7,2.0,0.6
Cu48Zr48Ag4,1199.0,6.16,1.0,339.87,2.0,0.568
Cu48Zr48Al4,1188.0,5.76,0.96,299.7,2.0,0.58
Cu48Zr52,1207.0,5.84,1.0,290.0,2.0,0.5710000000000001
Cu49.4Zr41.99Ti7.41Sn0.6Si0.6,1141.0,5.9879999999999995,0.988,300.13,2.0,0.5977
Cu49.5Zr42.075Ti7.425Si,1141.0,5.94,0.99,290.0,2.0,0.5986
Cu49.5Zr42.075Ti7.425Sn,1140.0,6.04,0.99,300.13,2.0,0.5991
Cu49Hf42Al9,1249.0,5.74,0.91,370.27,2.0,0.6229
Cu49Zr36Ag10Ti5,1130.0,6.72,1.0,339.87,2.0,0.6115
Cu50Ag10Zr30Ti10,1130.0,6.8,1.0,339.87,2.0,0.61416
Cu50Hf42.5Al7.5,1239.683,5.85,0.925,370.27,2.0,0.63
Cu50Hf45Al5,1230.645,5.9,0.95,370.27,2.0,0.62
Cu50Zr42.5Ti7.5,1152.0,6.0,1.0,290.0,2.0,0.5877
Cu50Zr43Al7,1176.0,5.86,0.93,299.7,2.0,0.6131
Cu50Zr45Al5,1149.18,5.9,0.95,299.7,2.0,0.61
Cu50Zr50,1237.0,6.0,1.0,290.0,2.0,0.5546
Cu51.5Zr40.5Al8,1176.0,5.96,0.92,299.7,2.0,0.621
Cu52.4Zr41.1Al6.5,1177.0,6.062,0.935,299.7,2.0,0.619
Cu52.5Hf40Al7.5,1250.0,6.05,0.925,370.27,2.0,0.6232
Cu52.5Zr40Ga7.5,1218.0,6.8,0.925,334.44,2.0,0.6108399999999999
Cu52.5Zr42.5Al5,1162.295,6.1,0.95,299.7,2.0,0.61
Cu52.5Zr42.5Ga5,1187.0,6.6,0.95,334.44,2.0,0.61752
Cu53.2Zr41.8Al5,1176.0,6.156000000000001,0.95,299.7,2.0,0.613
Cu54Ag6Zr33Ti7,1135.0,6.8,1.0,339.87,2.0,0.62467
Cu54Ni6Zr22Ti18,1287.0,6.68,1.0,290.0,2.0,0.553224553
Cu54Zr27Ti9Be10,1130.0,6.12,0.9,293.5,2.0,0.63717
Cu54Zr27Ti9Be10,1130.0,6.12,0.9,293.5,2.0,0.637
Cu54Zr36Ag10,1146.0,7.12,1.0,339.87,2.0,0.6274
Cu55.2Hf23Ti13.8Nb8,1198.0,6.5760000000000005,1.0,389.6,3.0,0.62187
Cu55Ag5Zr30Ti10,1149.0,6.8,1.0,339.87,2.0,0.6127100000000001
Cu55Hf45,1295.0,6.4,1.0,360.57,2.0,0.595
Cu55Ni5Zr30Ti10,1204.0,6.7,1.0,290.0,2.0,0.59551
Cu55Zr40Al5,1166.129,6.3,0.95,299.7,2.0,0.62
Cu55Zr40Ga5,1193.0,6.8,0.95,334.44,2.0,0.61693
Cu55Zr42.5Ga2.5,1199.0,6.6,0.975,334.44,2.0,0.59133
Cu55Zr45,1183.0,6.4,1.0,290.0,2.0,0.59
Cu56.4Hf23.5Ti14.1Nb6,1190.0,6.632000000000001,1.0,389.6,3.0,0.62605
Cu56Zr44,1163.0,6.48,1.0,290.0,2.0,0.626
Cu57.5Zr37.5Ga5,1241.0,7.0,0.95,334.44,2.0,0.60032
Cu57.6Hf24Ti14.4Nb4,1188.0,6.688,1.0,389.6,3.0,0.62879
Cu57.6Zr28.8Ti9.6Sn4,1135.0,6.928,0.96,300.13,2.0,0.65
Cu57Zr36Ag7,1156.0,7.12,1.0,339.87,2.0,0.6159
Cu58.1Zr35.9Al6,1173.0,6.528,0.94,299.7,2.0,0.648
Cu58.2Zr29.1Ti9.7Sn3,1148.0,6.896,0.97,300.13,2.0,0.65
Cu58.7Zr36.3Al5,1179.0,6.596,0.95,299.7,2.0,0.634
Cu58.8Hf24.5Ti14.7Nb2,1184.0,6.744,1.0,389.6,3.0,0.63007
Cu58.8Zr29.4Ti9.8Sn2,1150.0,6.864,0.98,300.13,2.0,0.63
Cu58.8Zr29.4Ti9.8Y2,1122.0,6.684,1.0,290.0,2.0,0.63012
Cu59.4Zr29.7Ti9.9Sn,1155.0,6.832000000000001,0.99,300.13,2.0,0.63203
Cu59.6Zr36.9Al3.5,1181.0,6.6979999999999995,0.965,299.7,2.0,0.627
Cu60.3Zr37.2Al2.5,1185.0,6.774,0.975,299.7,2.0,0.619
Cu60Hf17.5Ti22.5,1229.0,6.8,1.0,360.57,2.0,0.5956100000000001
Cu60Hf20Ti20,1211.0,6.8,1.0,360.57,2.0,0.61107
Cu60Hf25Ti15,1177.0,6.8,1.0,360.57,2.0,0.62022
Cu60Hf40,1290.0,6.8,1.0,360.57,2.0,0.599
Cu60Zr30Ti10,1175.0,6.8,1.0,290.0,2.0,0.61617
Cu60Zr33Ti7,1191.0,6.8,1.0,290.0,2.0,0.62133
Cu60Zr40,1198.0,6.8,1.0,290.0,2.0,0.618
Cu62Zr38,1158.0,6.96,1.0,290.0,2.0,0.629
Cu64Zr36,1230.0,7.12,1.0,290.0,2.0,0.6398
Cu65Hf35,1259.0,7.2,1.0,360.57,2.0,0.621
Cu65Zr35,1248.0,7.2,1.0,290.0,2.0,0.626
Cu66Zr34,1263.0,7.28,1.0,290.0,2.0,0.603
Cu72Zr28,1358.0,7.76,1.0,290.0,2.0,0.574
Dy46Al24Co18Fe2Y10,1023.0,1.48,0.3,163.3,3.0,0.612903226
Er50Al24Co20Y6,1079.0,1.46,0.26,102.5,0.0,0.603336423
Fe27Co40Zr3Ti3Mo1.5Si1.5B24,1379.0,4.615,0.745,241.0,3.0,0.5881
Fe36Co36B19.2Si4.8Nb4,1397.0,4.84,0.76,340.6,3.0,0.58697
Fe39Co9Cr15Mo14C15B6Y2,1466.0,4.44,0.79,375.5,3.0,0.57162
Fe41.9Co27.9B18.6Si4.7Nb3.9Cr3,1474.0,4.773,0.767,350.6,3.0,0.5638
Fe41Co7Cr15Mo14C15B6Y2,1436.0,4.42,0.79,375.5,3.0,0.58357
Fe43.2Co28.8B19.2Si4.8Nb4,1407.0,4.768,0.76,340.6,3.0,0.58635
Fe43Co5Cr15Mo14C15B6Y2,1442.0,4.4,0.79,375.5,3.0,0.57906
Fe45Co3Cr15Mo14C15B6Y2,1446.0,4.38,0.79,375.5,3.0,0.57676
Fe48Cr15Mo14C15B6Y2,1464.0,4.35,0.79,375.5,3.0,0.57309
Fe48Cr15Mo14Er2C15B6,1446.0,4.33,0.77,422.12,3.0,0.58368
Fe50.4Co21.6B19.2Si4.8Nb4,1413.0,4.696000000000001,0.76,340.6,3.0,0.58599
Fe56Co16Y6B22,1494.0,4.54,0.78,158.3,3.0,0.5904
Fe56Co20Mo4P9C4B4Si3,1220.0,4.96,0.8,702.6,3.0,0.6033
Fe56Mn5Cr7Mo12Er2C12B6,1401.0,4.56,0.8,495.26,4.0,0.56602
Fe57.6Co14.4B19.2Si4.8Nb4,1431.0,4.624,0.76,340.6,3.0,0.58001
Fe58Co14Y6B22,1485.0,4.52,0.78,158.3,3.0,0.5926
Fe58Cr5Mo14Er2C15B6,1416.0,4.43,0.77,422.12,3.0,0.56003
Fe60Co12Y6B22,1498.0,4.5,0.78,158.3,3.0,0.5881
Fe61B15Mo7Zr8Co5Y2Cr2,1490.0,4.64,0.85,251.0,3.0,0.60477
Fe61B15Mo7Zr8Co6Y2Al,1495.0,4.61,0.84,299.7,3.0,0.6016699999999999
Fe61B15Mo7Zr8Co7Y2,1490.0,4.68,0.85,241.0,3.0,0.60711
Fe62Co10Y6B22,1503.0,4.48,0.78,158.3,3.0,0.5888
Fe63C15Mo14Er2B6,1389.0,4.48,0.77,422.12,3.0,0.55508
Fe64.8Co7.2B19.2Si4.8Nb4,1460.0,4.552,0.76,340.6,3.0,0.56986
Fe64Co8Y6B22,1505.0,4.46,0.78,158.3,3.0,0.5874
Fe65.5Cr4Mo4Ga4P12C5B5.5,1322.0,4.73,0.735,702.6,3.0,0.5635
Fe66Co6Y6B22,1509.0,4.44,0.78,158.3,3.0,0.5878
Fe67Mo5Y6B22,1483.0,4.33,0.78,240.9,3.0,0.6204
Fe67Ni5Y6B22,1469.0,4.48,0.78,158.3,3.0,0.5895
Fe68.3C6.9Si2.5B6.7P8.8Cr2.2Mo2.5Al2.1,1316.0,4.333,0.73,702.6,3.0,0.6041
Fe68Co4Y6B22,1414.0,4.42,0.78,158.3,3.0,0.6337
Fe68Mo4Y6B22,1488.0,4.34,0.78,240.9,3.0,0.6149
Fe68Mo5Ni5Cr2P12.5C5B2.5,1213.0,4.83,0.8,702.6,3.0,0.5670000000000001
Fe68Ni4Y6B22,1470.0,4.46,0.78,158.3,3.0,0.5932
Fe69.12Nb3.84B19.2Si3.84Y4,1424.0,4.3408,0.7696,340.6,3.0,0.63553
Fe69.84Nb3.88B19.4Si3.88Y3,1416.0,4.3756,0.7672,340.6,3.0,0.60664
Fe69Mo3Y6B22,1488.0,4.35,0.78,240.9,3.0,0.6102
Fe69Ni3Y6B22,1503.0,4.44,0.78,158.3,3.0,0.5815
Fe70.56Nb3.92B19.6Si3.92Y2,1416.0,4.4104,0.7648,340.6,3.0,0.6038100000000001
Fe70Co2Y6B22,1420.0,4.4,0.78,158.3,3.0,0.6324
Fe70Mo2Y6B22,1508.0,4.36,0.78,240.9,3.0,0.6015
Fe70Ni2Y6B22,1509.0,4.42,0.78,158.3,3.0,0.5832
Fe71.28Nb3.96B19.8Si3.96Y,1419.0,4.4452,0.7624,340.6,3.0,0.60254
Fe71MoY6B22,1517.0,4.37,0.78,240.9,3.0,0.5946
Fe71NiY6B22,1507.0,4.4,0.78,158.3,3.0,0.5859
Fe72B14.4Si9.6Nb4,1369.0,4.48,0.76,340.6,3.0,0.61
Fe72B19.2Si4.8Nb4,1475.0,4.48,0.76,340.6,3.0,0.5661
Fe72Nb4B20Si4,1420.0,4.48,0.76,340.6,3.0,0.59296
Fe72Y6B22,1419.0,4.38,0.78,158.3,3.0,0.6328
Fe73.5B14.7Si9.8Nb2,1425.0,4.49,0.755,340.6,3.0,0.57
Fe73Mo4Ga3P10C4B4Si2,1283.0,4.88,0.77,702.6,3.0,0.58
Fe74.25B14.85Si9.9Nb,1455.0,4.495,0.7525,340.6,3.0,0.56
Fe74.25B14.85Si9.9Zr,1469.0,4.475,0.7525,241.0,3.0,0.59
Fe74.5Mo5.5P12.5C5B2.5,1219.0,4.745,0.8,702.6,3.0,0.57
Fe74Mo4Ga2P10C4B4Si2,1276.0,4.84,0.78,702.6,3.0,0.58
Fe74Mo5P10C4B4Si3,1263.0,4.69,0.79,702.6,3.0,0.6
Fe74Nb6Y3B17,1391.0,4.71,0.83,340.6,3.0,0.59741
Fe74Si3.5C12.7Tm0.6P9.1,1318.0,4.444444444,0.740740741,702.6,3.0,0.544
Fe75.3Si3.5C12.9Tm.6P7.6,1284.0,4.522522523,0.7537537540000001,702.6,3.0,0.5351
Fe75Mo2Ga3P10C4B4Si2,1230.0,4.9,0.77,702.6,3.0,0.6
Fe75Mo4P10C4B4Si3,1227.0,4.7,0.79,702.6,3.0,0.613
Fe76Mo2Ga2P10C4B4Si2,1247.0,4.86,0.78,702.6,3.0,0.59
Fe76Mo3P10C4B4Si3,1250.0,4.71,0.79,702.6,3.0,0.6
Fe76Mo4P9C4B4Si3,1245.0,4.76,0.8,702.6,3.0,0.5976
Fe76Si9B10P5,1258.0,4.56,0.76,495.4,3.0,0.62
Fe77Mo2P10C4B4Si3,1264.0,4.72,0.79,702.6,3.0,0.5870000000000001
Fe78MoP10C4B4Si3,1268.0,4.73,0.79,702.6,3.0,0.585
Fe79P10C4B4Si3,1263.0,4.74,0.79,702.6,3.0,0.586
Fe79Si10B11,1419.0,4.74,0.79,158.3,3.0,0.5760000000000001
Fe80P13C7,1258.0,4.8,0.8,702.6,2.0,0.585
Fe91B9,1628.0,5.46,0.91,158.3,3.0,0.36855
Ga18Sr82,793.0,1.8,0.0,119.16,1.0,0.561
Gd36Al24Co20Y20,1048.0,1.96,0.4,102.5,0.0,0.575381679
Gd60Co25Al15,952.0,2.35,0.25,82.5,0.0,0.6008
Gd60Ni15Al25,1006.0,1.8,0.15,86.7,0.0,0.5994
Hf47Cu29.25Ni9.75Al14,1278.0,4.645,0.86,370.27,2.0,0.6182
Hf48Cu29.25Ni9.75Al13,1280.0,4.665,0.87,370.27,2.0,0.6133
Hf51Cu27.75Ni9.25Al12,1344.0,4.535,0.88,370.27,2.0,0.5781
Ho35Al24Co20Y21,1074.0,1.61,0.41,142.26,0.0,0.599627561
La32Ce32Al16Ni5Cu10Co5,718.0,2.39,0.2,108.77,2.0,0.57521
La32Ce32Al16Ni5Cu12Co3,709.0,2.45,0.2,108.77,2.0,0.5726399999999999
La32Ce32Al16Ni5Cu15,712.0,2.54,0.2,108.77,2.0,0.56601
La32Ce32Al16Ni5Cu5Co10,767.0,2.24,0.2,108.77,2.0,0.5528
La32Ce32Al16Ni5Cu7Co8,739.0,2.3,0.2,108.77,2.0,0.56292
La55Al15Ag10Cu20,787.0,3.55,0.3,148.94,1.0,0.5286
La55Al17.5Ag7.5Cu20,852.0,3.3,0.275,148.94,1.0,0.4988
La55Al20Ag5Cu20,823.0,3.05,0.25,148.94,1.0,0.5213
La55Al25Ag5Cu15,860.0,2.55,0.2,148.94,1.0,0.5256
La55Al25Cu20,896.0,2.55,0.2,108.77,1.0,0.50893
La55Al25Ni10Cu10,835.0,2.35,0.2,108.77,1.0,0.55976
La55Al25Ni15Cu5,899.6,2.25,0.2,108.77,1.0,0.52646
La55Al25Ni20,941.0,2.15,0.2,108.77,0.0,0.52179
La55Al25Ni5Cu10Co5,822.5,2.3,0.2,108.77,1.0,0.5655899999999999
La55Al25Ni5Cu15,878.1,2.45,0.2,108.77,1.0,0.52283
La60Al15Ag5Cu20,759.0,3.1,0.25,148.94,1.0,0.5283
La62.5Al12.5Ag5Cu15Co5,700.0,2.975,0.25,148.94,1.0,0.5671
La62.5Al12.5Ag5Cu15Fe5,713.0,2.925,0.25,148.94,4.0,0.547
